IDNUMBER,SMILES,predicts-2315,predicts-5444,predicts-5010,predicts-1936,predicts-4621,predicts-3199,predicts-9572,predicts-8469,predicts-6294,predicts-3483,predicts-5030,predicts-6894
AG-690/32517054,O=C1NC(=O)C(C(=O)N1)C3C4CCCCC4(OC=2NC(=O)NC(=O)C=23),0.2,0.1,0.3,0.4,0.3,0.1,0.6,0.1,0.8,0.7,0.3,0.5
AG-690/32519004,O=C2OC(=NC2(=Cc1ccccc1[N+](=O)[O-]))c3ccccc3G,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0,0
AG-690/32519012,O=C2OC(=NC2(=CC=Cc1ccccc1))c3ccc(c(c3)[N+](=O)[O-])G,0,0.1,0,0.1,0,0.2,0,0,0.2,0,0,0.1
AG-690/32519036,COc1cc(ccc1(OC(C)=O))C=C2N=C(OC2(=O))c3ccc(c(c3)[N+](=O)[O-])G,0,0,0,0.1,0.1,0.2,0,0.2,0,0.1,0.2,0.1
AG-690/32520031,CC(=O)Oc3ccc(C=C1N=C(OC1(=O))c2ccc(cc2)R)cc3(OC(C)=O),0.1,0,0.1,0.2,0,0.2,0,0.2,0.1,0.2,0.5,0.1
AG-690/32520046,CCN(c1ccccc1)c2cc(C)c(c(n2)N(CC)c3ccccc3)[N+](=O)[O-],0.2,0,0,0.1,0,0.2,0,0,0,0,0,0.1
AG-690/32521023,Cc3ccc(C=C1N=C(OC1(=O))c2ccccc2)o3,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0,0.5,0
AG-690/32522047,O=C(C=Cc1ccccc1(F))c2cccc(c2)[N+](=O)[O-],0,0.1,0,0,0.2,0,0,0,0,0.1,0.1,0
AG-690/32522048,O=C(NC1N=CN=N1)c2cc(cc(c2)[N+](=O)[O-])[N+](=O)[O-],0.1,0.2,0,0,0,0.5,0.5,0,0.3,0,0,0.1
AG-690/32522052,Cc1ccc(cc1(C))Nc2c(cc(cc2[N+](=O)[O-])C(O)=O)[N+](=O)[O-],0,0.1,0,0.1,0,0.1,0,0.1,0,0.2,0.3,0.1
AG-690/32522053,CCCCNc1c(cc(cc1[N+](=O)[O-])C(O)=O)[N+](=O)[O-],0,0,0,0.1,0.1,0.1,0.2,0.2,0,0,0,0
AG-690/32522054,OCC(CO)Nc1c(cc(cc1[N+](=O)[O-])C(O)=O)[N+](=O)[O-],0.1,0,0,0.1,0,0,0.1,0.1,0.3,0.1,0.1,0
AG-690/32522055,CCCCCCOC(=O)c1ccc(cc1)Nc2c(cc(cc2[N+](=O)[O-])C(O)=O)[N+](=O)[O-],0,0,0.2,0,0.3,0,0,0,0.2,0.2,0.1,0
AG-690/32522056,OC(=O)c3cc(c(Nc2cccc1ccccc12)c(c3)[N+](=O)[O-])[N+](=O)[O-],0.1,0,0.1,0.2,0,0.1,0.1,0,0,0.2,0.3,0
AG-690/32522057,CC(=O)Nc1ccc(cc1)Nc2c(cc(cc2[N+](=O)[O-])C(O)=O)[N+](=O)[O-],0.1,0.1,0.1,0.1,0,0,0.2,0,0.1,0,0.1,0.1
AG-690/32522059,OC(=O)c2cc(c(Nc1ccc(O)c(c1)C(O)=O)c(c2)[N+](=O)[O-])[N+](=O)[O-],0.1,0.1,0.1,0.2,0.1,0.5,0.3,0.4,0,0.1,0,0.1
AG-690/32523015,CC(C)Cc1ccc(cc1)C(C)C(=O)Nc2cccc(c2)[N+](=O)[O-],0,0,0.2,0.1,0.1,0.1,0.1,0,0,0.2,0,0.1
AG-690/32523054,CC(C)C3CCC(C)CC3(OC(=O)C(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c2ccccc2),0,0,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.2,0.1,0.1
AG-690/32524043,O=C(C=Cc1cccc(c1)[N+](=O)[O-])c2ccccn2,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1
AG-690/32525060,CCOC(=O)CN(Cc1ccccc1)C(=O)c2ccc(cc2)[N+](=O)[O-],0,0.1,0,0.2,0.1,0,0.1,0,0,0.1,0,0.2
AG-690/32526026,CCOC(=O)C(C#N)=Cc1ccc2OCOc2(c1),0.1,0.1,0,0.1,0.1,0.7,0.3,0,0,0.1,0.1,0
AG-690/32526036,CCOC(=O)C(=NNc1cc(cc(c1)C(=O)OC)C(=O)OC)C(C)=O,0.1,0.2,0.2,0.1,0.3,0.5,0.3,0.3,0.2,0.1,0,0.4
AG-690/32526039,CCOC(=O)C(C#N)=Cc1ccc(cc1(OC))OC,0.1,0.3,0.1,0.2,0,0.6,0.1,0.2,0.4,0.1,0.4,0
AG-690/32526045,COc2ccccc2(C=C1C(=O)NC(=S)S1),0.5,0.1,0.1,0.1,0.1,0,0.2,0.1,0.3,0.5,0.2,0.5
AG-690/32526052,O=C2NC(=S)SC2(=Cc1ccccc1(F)),0,0,0,0,0.1,0,0,0,0,0.1,0,0.2
AG-690/32527003,CN2c3ccccc3(C=CC2(=C1C(=O)N(C)C(=S)S1)),0.3,0,0.1,0,0.1,0.2,0.1,0.3,0,0.6,0.3,0.2
AG-690/32527055,COc2ccc(NC(=O)C(OC)c1ccccc1)c(c2)[N+](=O)[O-],0.1,0,0,0,0,0,0,0.1,0,0,0,0
