mean_ci_0,mean_ci_1,mean_ci_2,mean_ci_3,mean_ci_4,mean_ci_5,mean_ci_6,mean_ci_7,mean_ci_8,mean_ci_9,mean_ci_10,mean_ci_11,mean_ci_12,mean_ci_13,mean_ci_14,mean_ci_15,mean_ci_16,mean_ci_17,mean_ci_18,mean_ci_19,mean_ci_20,mean_ci_21,mean_ci_22,mean_ci_23,mean_ci_24,mean_ci_25,mean_ci_26,mean_ci_27,mean_ci_28,mean_ci_29,mean_ci_30,mean_ci_31,mean_ci_32,mean_ci_33,mean_ci_34,mean_ci_35,mean_ci_36,mean_ci_37,mean_ci_38,mean_ci_39,mean_ci_40,mean_ci_41,mean_ci_42,mean_ci_43,mean_ci_44,mean_ci_45,mean_ci_46,mean_ci_47,mean_ci_48,mean_ci_49,mean_ci_50,mean_ci_51,mean_ci_52,mean_ci_53,mean_ci_54,mean_ci_55,mean_ci_56,mean_ci_57,mean_ci_58,mean_ci_59,mean_ci_60,mean_ci_61,mean_ci_62,mean_ci_63
-0.026065934,0.2687416,-0.16677012,0.02758261,0.11583648,-0.15366147,0.39144287,-0.56654596,0.1021039,-0.38290498,0.06259018,0.34644866,0.2492462,0.07637719,0.06493346,-0.03534357,-0.11729336,0.04346981,-0.47865096,-0.17483173,0.22111516,0.061760213,-0.31026137,-0.3277321,0.05354869,-0.27386636,-0.25387225,0.535108,0.26772603,-0.23493558,-0.10568466,0.5585392,0.033376906,0.14110158,-0.29648066,-0.20260544,-0.00480072,0.24700575,0.2412061,0.2247828,-0.004446269,0.353135,0.16897395,-0.066440485,0.24539815,-0.023005629,0.32972062,0.017328382,-0.28045106,-0.47214046,0.18025245,0.046348285,0.20300478,0.17330942,-0.16860698,0.030392157,0.07879256,0.20114116,-0.11402208,-0.38012227,-0.17900628,0.086318366,-0.12485833,-0.4458823
-0.027470812,0.27764544,-0.1704596,0.021699201,0.1239738,-0.1390416,0.37861007,-0.56262124,0.09650767,-0.3714096,0.06347257,0.35182577,0.24342304,0.07974474,0.059943367,-0.031495407,-0.11439783,0.05131641,-0.4628295,-0.16620575,0.2092383,0.055149686,-0.30776265,-0.34485155,0.04998226,-0.28149688,-0.25750542,0.5226759,0.26613826,-0.22784777,-0.11621337,0.53563464,0.020332301,0.1288573,-0.30080304,-0.20553608,-0.004952519,0.24270616,0.23601544,0.21663435,-0.013886781,0.33955047,0.1574792,-0.074065425,0.25209802,-0.020243384,0.3357127,0.017823117,-0.27576163,-0.45097825,0.17801891,0.03400403,0.20981412,0.17391774,-0.16437066,0.03573064,0.06544484,0.19566227,-0.11418726,-0.36925822,-0.17438935,0.09437961,-0.11284597,-0.43786058
-0.064775005,0.27544636,-0.14081411,0.004252642,0.21389844,-0.10688724,0.29946253,-0.4990302,0.094873026,-0.35916495,0.047946747,0.40857884,0.2215311,0.11912091,-0.06827557,-0.06324478,-0.08400924,-0.001381869,-0.43866712,-0.14217716,0.18544553,0.08771102,-0.24504256,-0.3811555,0.09638473,-0.3564324,-0.22644657,0.43341553,0.24492952,-0.28086552,-0.14475766,0.36474982,0.05655166,0.08038769,-0.22587168,-0.21851343,0.034498274,0.20383002,0.26259205,0.17134878,-0.051345717,0.22648081,0.089261785,-0.08356895,0.26933655,0.0529984,0.34034887,0.04416897,-0.19465877,-0.36924574,0.14668901,0.002451238,0.25352007,0.11679204,-0.19266276,7.13E-05,-0.003726882,0.16697238,-0.13747892,-0.35404134,-0.15838194,0.09190913,-0.05613306,-0.39047474
-0.12919812,0.26201203,-0.16377988,-0.032883532,0.14022516,0.06405332,0.21769403,-0.26719248,0.023806522,-0.30681166,0.017727517,0.49029177,0.08801113,0.13798688,-0.16267465,-0.04731663,-0.11083915,0.09023339,-0.3466796,0.042103592,0.11298631,0.11272748,-0.0989814,-0.48721442,0.12118972,-0.42088488,-0.07399261,0.23179801,0.16396242,-0.28072196,-0.19336048,0.12412579,0.00805248,0.012468006,-0.170943,-0.28812253,-0.08301872,0.17969505,0.20826198,-0.11360085,-0.28909978,0.091494925,-0.042662118,-0.044053823,0.28946042,0.1965057,0.2766861,0.09662234,-0.09898025,-0.24608986,-0.000608564,-0.03896104,0.37555957,0.07234887,-0.25535646,-0.010389283,-0.08086981,0.20618488,-0.22210519,-0.32096028,-0.14709294,0.036055993,0.038373947,-0.40372553
-0.15503487,0.16368853,-0.14907661,-0.004947184,0.34113508,-0.07078516,0.19628762,-0.46604332,0.1275583,-0.36328787,-0.04883033,0.40540883,0.21097976,0.039686117,-0.22291072,-0.1502953,-0.08739511,-0.056967247,-0.4048457,0.12162539,0.13143162,0.078173466,-0.17105967,-0.4122795,0.29433432,-0.5049785,-0.30110624,0.26038727,0.13833366,-0.3472143,-0.070660695,0.11694059,0.22145633,0.108395845,-0.012547446,-0.32423243,0.15620872,0.19594178,0.31469992,0.1307677,-0.06736511,-0.14736861,-0.1534086,-0.09270754,0.4513773,0.2307071,0.45903236,0.16319187,-0.1335946,-0.34378698,-0.009804479,-0.04516931,0.3635334,-0.003110184,-0.16014707,-0.076089345,-0.10395529,0.025847152,-0.16061045,-0.3621587,-0.18866496,0.11982302,0.15142255,-0.3257812
-0.054585278,0.36575624,-0.14593999,-0.04910353,0.17260721,0.04574108,0.2199256,-0.36564714,-0.0220142,-0.2766781,0.047435626,0.50968325,0.1521712,0.13696222,-0.08737919,-0.025876679,-0.1332831,0.1326812,-0.4251668,-0.03740403,0.08574069,0.051533405,-0.13896917,-0.5535683,0.01854313,-0.40296608,-0.08066853,0.2966955,0.120678425,-0.1703782,-0.21599813,0.21721417,-0.011243211,0.011647324,-0.22465453,-0.3933147,-0.06674422,0.25876498,0.18016313,-0.01905331,-0.32931378,0.11930388,-0.077422515,-0.07894815,0.1974406,0.13568652,0.2825398,0.004314126,-0.15544899,-0.27144217,0.027726455,-0.11800301,0.40908512,0.064269155,-0.22259684,-0.041847546,-0.0996409,0.15769032,-0.2588139,-0.36648795,-0.2024405,0.08022972,0.052888844,-0.29638028
-0.021816345,0.2884219,-0.15898027,0.035360906,0.13183185,-0.11876773,0.38462475,-0.5777173,0.09170256,-0.37728015,0.075954705,0.35406718,0.2570573,0.051936764,0.07301939,-0.026794773,-0.11464329,0.062502846,-0.47592756,-0.18814342,0.22378074,0.052942548,-0.2965106,-0.36408362,0.03137828,-0.2722644,-0.25998735,0.5254605,0.2663699,-0.20541777,-0.09366747,0.5645036,0.02918808,0.12474868,-0.2887419,-0.20794979,-0.010065698,0.26719815,0.21242039,0.21800612,-0.01835068,0.35380793,0.16767737,-0.06914603,0.23489504,-0.023745304,0.3378464,-0.002725322,-0.28953406,-0.4644579,0.16923922,0.029320473,0.20795587,0.19317457,-0.1545403,0.019187773,0.064659886,0.19705565,-0.115053594,-0.37476626,-0.20000406,0.10525438,-0.12501906,-0.42116004
-0.19843556,0.22511789,-0.26465064,-0.1268178,0.12779564,0.006890415,0.124546,-0.23586923,2.20E-05,-0.2870855,0.08054298,0.39898553,0.10387191,0.29613417,-0.12902096,-0.049540173,-0.041470703,0.04810911,-0.22272576,-0.018242758,0.071355365,0.019518394,-0.08886569,-0.5606023,0.1841503,-0.40187228,-0.24038325,0.21828938,0.25418407,-0.35730097,-0.1937456,0.1748869,-0.1520008,0.00445749,-0.15160581,-0.14854822,0.007442216,0.07955546,0.29307577,0.06259598,-0.23306192,0.12889013,0.07567852,-0.06754563,0.3306686,0.23027907,0.28915653,0.08205815,-0.097247705,-0.16060503,0.10360634,0.007036914,0.29747912,0.11122555,-0.22004664,-0.053054653,-0.030512387,0.30996627,-0.1603532,-0.23161142,-0.015175704,-0.070883214,0.017440472,-0.42693764
-0.13294405,0.22018503,-0.18046768,-0.04884239,0.05088686,0.07807119,0.27462134,-0.29536548,0.006896072,-0.34320742,0.047661092,0.47879222,0.101084985,0.12038673,-0.105713956,-0.062081043,-0.06358653,0.061394293,-0.31497738,0.012425093,0.15961829,0.10030518,-0.11211797,-0.46983904,0.17456989,-0.31020692,-0.16573751,0.19961372,0.2199136,-0.2936423,-0.07524562,0.18369892,-0.01401502,0.07582394,-0.07578885,-0.20899092,-0.04863373,0.19452466,0.18690702,-0.077486426,-0.23305884,0.07907372,0.034748025,-0.026705896,0.3124345,0.21852264,0.30014977,0.07769161,-0.10588576,-0.28851628,0.02257115,0.010313674,0.36802968,0.10992459,-0.17952202,-0.08229355,-0.026086722,0.2567869,-0.17617688,-0.26123244,-0.13391507,0.009750628,-0.011096354,-0.42678496
-0.13411966,0.25002372,-0.2345827,-0.09281982,0.048744462,-0.003243672,0.24698389,-0.33436444,0.017401023,-0.30419067,0.07851818,0.40537193,0.11960676,0.21397616,-0.03862589,-0.050200276,-0.07701967,0.06342559,-0.29178584,-0.019580778,0.09641168,0.044730686,-0.16071413,-0.476356,0.14870971,-0.33143342,-0.24695042,0.3196938,0.25663796,-0.29972792,-0.14825083,0.27994156,-0.09536026,0.06180473,-0.19637437,-0.18412386,-0.020248137,0.14128701,0.25256872,0.047027204,-0.19207554,0.18493035,0.10600329,-0.07373815,0.31227803,0.16245744,0.2986593,0.06257273,-0.16400048,-0.27745005,0.111856945,0.011354441,0.30629915,0.14596817,-0.18675531,-0.034746215,0.010279742,0.27468216,-0.14769366,-0.25406563,-0.07490429,-0.011894424,-0.023140455,-0.4482075
